Two_yr_Recidivism,Number_of_Priors,Age_Above_FourtyFive,Age_Below_TwentyFive,Female,Misdemeanor,ethnicity
yes,-0.05194930134332059,no,yes,Female,yes,Caucasian
yes,-0.4735549395957525,no,yes,Male,yes,African_American
yes,0.5804591560353273,yes,no,Male,yes,African_American
no,-0.6843577587219685,no,no,Male,no,Caucasian
yes,-0.6843577587219685,no,yes,Male,yes,African_American
yes,-0.6843577587219685,no,no,Male,yes,Caucasian
yes,0.15885351778289536,no,no,Male,yes,Caucasian
yes,-0.4735549395957525,no,yes,Male,no,African_American
no,-0.05194930134332059,no,no,Male,no,Caucasian
yes,-0.4735549395957525,no,no,Male,no,African_American
yes,-0.26275212046953655,no,no,Male,yes,Caucasian
yes,1.634473251666407,no,no,Male,yes,African_American
no,-0.4735549395957525,yes,no,Male,no,African_American
no,-0.6843577587219685,yes,no,Male,yes,Caucasian
no,0.15885351778289536,no,no,Male,no,African_American
yes,-0.05194930134332059,yes,no,Male,yes,African_American
no,-0.6843577587219685,no,no,Male,no,Caucasian
no,-0.26275212046953655,yes,no,Male,yes,African_American
yes,-0.4735549395957525,yes,no,Male,no,Caucasian
yes,-0.05194930134332059,no,no,Male,yes,African_American
no,-0.4735549395957525,yes,no,Male,no,Caucasian
no,0.5804591560353273,no,no,Male,yes,African_American
no,-0.26275212046953655,no,no,Male,yes,African_American
no,-0.6843577587219685,no,yes,Female,no,Caucasian
yes,1.0020647942877592,no,no,Male,yes,African_American
no,-0.6843577587219685,no,yes,Male,no,Caucasian
no,-0.26275212046953655,no,no,Male,yes,Caucasian
no,-0.4735549395957525,yes,no,Male,yes,Caucasian
yes,4.164107081180998,no,no,Female,no,African_American
no,0.3696563369091113,no,no,Male,no,African_American
no,0.5804591560353273,no,no,Male,yes,Caucasian
no,-0.6843577587219685,yes,no,Male,yes,Caucasian
no,-0.6843577587219685,no,no,Male,yes,Caucasian
no,0.3696563369091113,no,no,Male,no,African_American
yes,2.056078889918839,yes,no,Male,no,Caucasian
no,-0.6843577587219685,no,no,Female,yes,African_American
no,0.15885351778289536,no,no,Male,no,Caucasian
no,-0.26275212046953655,no,no,Male,no,Caucasian
yes,1.0020647942877592,yes,no,Male,no,Caucasian
yes,1.0020647942877592,no,no,Male,no,African_American
yes,-0.4735549395957525,no,no,Female,no,African_American
no,-0.4735549395957525,no,no,Male,no,Caucasian
yes,1.212867613413975,yes,no,Male,no,Caucasian
yes,-0.05194930134332059,no,yes,Female,no,Caucasian
yes,-0.26275212046953655,no,no,Male,no,African_American
yes,0.5804591560353273,no,no,Male,no,Caucasian
yes,-0.26275212046953655,no,no,Male,no,African_American
no,-0.6843577587219685,no,no,Female,yes,Caucasian
no,-0.05194930134332059,no,no,Female,no,Caucasian
no,-0.6843577587219685,no,no,Female,yes,Caucasian
yes,-0.6843577587219685,no,yes,Male,no,Caucasian
yes,0.5804591560353273,no,no,Female,no,Caucasian
yes,-0.4735549395957525,no,yes,Male,no,African_American
no,2.8992901664237025,no,no,Male,no,Caucasian
no,-0.26275212046953655,no,no,Male,no,Caucasian
yes,-0.26275212046953655,no,no,Male,no,African_American
no,-0.6843577587219685,no,no,Male,no,African_American
no,-0.6843577587219685,no,yes,Male,no,African_American
yes,0.5804591560353273,no,no,Male,no,African_American
no,0.3696563369091113,yes,no,Male,no,African_American
yes,0.7912619751615432,no,no,Male,no,African_American
yes,-0.6843577587219685,no,no,Female,no,Caucasian
yes,1.212867613413975,no,no,Male,no,African_American
no,0.3696563369091113,no,no,Male,yes,African_American
no,-0.26275212046953655,no,no,Male,yes,African_American
yes,-0.6843577587219685,no,yes,Male,yes,African_American
yes,-0.6843577587219685,no,yes,Male,no,Caucasian
no,0.3696563369091113,no,no,Male,no,Caucasian
yes,2.4776845281712707,no,no,Female,no,African_American
no,-0.6843577587219685,no,no,Female,no,African_American
yes,-0.05194930134332059,no,no,Female,yes,African_American
yes,-0.4735549395957525,no,no,Male,yes,African_American
yes,-0.26275212046953655,no,no,Male,no,African_American
no,-0.4735549395957525,yes,no,Male,yes,Caucasian
yes,-0.05194930134332059,no,yes,Male,no,Caucasian
no,-0.6843577587219685,no,yes,Female,yes,African_American
yes,-0.05194930134332059,no,yes,Male,no,African_American
no,0.15885351778289536,no,no,Male,no,African_American
yes,-0.4735549395957525,no,yes,Male,no,African_American
yes,-0.4735549395957525,no,yes,Male,no,Caucasian
yes,-0.6843577587219685,no,yes,Female,no,Caucasian
no,0.15885351778289536,no,no,Female,no,Caucasian
no,1.212867613413975,yes,no,Male,yes,African_American
yes,0.15885351778289536,no,no,Male,yes,African_American
no,-0.6843577587219685,yes,no,Male,yes,Caucasian
yes,0.7912619751615432,no,no,Male,no,African_American
yes,0.3696563369091113,no,yes,Male,no,Caucasian
no,-0.6843577587219685,yes,no,Male,yes,Caucasian
yes,-0.6843577587219685,no,yes,Female,yes,African_American
no,-0.6843577587219685,no,no,Female,no,African_American
no,-0.4735549395957525,no,yes,Male,no,Caucasian
no,-0.05194930134332059,no,yes,Female,no,African_American
no,-0.6843577587219685,no,no,Male,no,African_American
no,-0.6843577587219685,no,no,Male,no,African_American
yes,1.8452760707926228,no,no,Male,no,African_American
no,-0.26275212046953655,no,no,Male,yes,Caucasian
no,-0.4735549395957525,no,no,Male,no,African_American
no,-0.6843577587219685,yes,no,Male,yes,Caucasian
yes,-0.26275212046953655,no,yes,Male,no,African_American
no,-0.6843577587219685,no,no,Female,yes,African_American
yes,-0.6843577587219685,no,yes,Male,no,African_American
yes,1.212867613413975,no,no,Male,no,Caucasian
yes,1.212867613413975,yes,no,Male,no,African_American
no,-0.26275212046953655,yes,no,Male,no,Caucasian
yes,-0.6843577587219685,no,no,Male,yes,African_American
no,-0.6843577587219685,no,yes,Male,no,African_American
yes,1.212867613413975,yes,no,Male,no,African_American
yes,-0.05194930134332059,no,no,Male,yes,Caucasian
no,-0.05194930134332059,no,yes,Male,no,Caucasian
yes,-0.6843577587219685,no,no,Male,yes,Caucasian
no,-0.26275212046953655,no,no,Male,no,African_American
yes,-0.6843577587219685,no,yes,Female,no,African_American
yes,0.5804591560353273,no,no,Male,yes,African_American
no,-0.6843577587219685,no,no,Male,no,African_American
yes,0.15885351778289536,no,no,Male,no,Caucasian
yes,0.3696563369091113,no,no,Male,no,Caucasian
no,0.5804591560353273,no,no,Male,no,African_American
yes,-0.6843577587219685,no,yes,Female,no,African_American
yes,-0.4735549395957525,no,no,Female,yes,African_American
yes,-0.6843577587219685,yes,no,Male,no,African_American
no,-0.6843577587219685,no,yes,Male,yes,African_American
yes,-0.6843577587219685,no,no,Male,no,Caucasian
yes,2.6884873472974866,yes,no,Male,yes,African_American
no,2.266881709045055,yes,no,Male,yes,African_American
yes,0.3696563369091113,no,no,Male,no,African_American
yes,-0.6843577587219685,no,yes,Male,no,Caucasian
no,-0.6843577587219685,no,no,Male,no,African_American
yes,-0.26275212046953655,yes,no,Male,yes,Caucasian
no,-0.26275212046953655,yes,no,Male,no,Caucasian
yes,0.3696563369091113,no,no,Male,no,African_American
yes,-0.26275212046953655,no,no,Female,no,Caucasian
no,0.7912619751615432,no,no,Male,no,African_American
yes,0.15885351778289536,no,no,Male,no,African_American
no,-0.4735549395957525,no,no,Female,no,Caucasian
yes,0.3696563369091113,no,no,Female,no,Caucasian
no,-0.6843577587219685,no,no,Male,yes,Caucasian
no,-0.05194930134332059,no,no,Male,yes,Caucasian
no,-0.6843577587219685,no,yes,Male,no,Caucasian
no,-0.26275212046953655,yes,no,Male,yes,Caucasian
no,0.15885351778289536,no,no,Male,yes,African_American
yes,-0.6843577587219685,yes,no,Male,no,African_American
yes,1.0020647942877592,no,no,Male,no,African_American
yes,-0.4735549395957525,no,yes,Male,yes,African_American
no,-0.6843577587219685,no,no,Male,yes,Caucasian
no,-0.6843577587219685,yes,no,Male,yes,African_American
no,-0.26275212046953655,yes,no,Male,no,Caucasian
yes,0.5804591560353273,no,yes,Male,no,Caucasian
no,-0.6843577587219685,no,no,Male,no,Caucasian
no,-0.4735549395957525,no,no,Male,yes,Caucasian
yes,1.212867613413975,no,no,Male,no,African_American
yes,0.15885351778289536,no,no,Male,yes,African_American
no,-0.6843577587219685,no,no,Male,no,African_American
yes,0.7912619751615432,yes,no,Male,yes,African_American
no,-0.6843577587219685,no,no,Male,no,African_American
no,-0.4735549395957525,no,no,Female,yes,African_American
yes,2.4776845281712707,no,no,Male,no,African_American
yes,-0.6843577587219685,no,yes,Male,no,Caucasian
yes,-0.4735549395957525,no,no,Male,no,African_American
no,-0.4735549395957525,no,no,Male,no,African_American
yes,1.634473251666407,no,no,Male,no,African_American
no,-0.26275212046953655,yes,no,Male,yes,Caucasian
yes,2.6884873472974866,no,no,Male,no,African_American
yes,-0.26275212046953655,no,no,Male,yes,Caucasian
no,-0.26275212046953655,yes,no,Female,no,Caucasian
no,-0.6843577587219685,no,no,Male,no,African_American
yes,0.7912619751615432,no,no,Male,no,African_American
no,-0.26275212046953655,no,no,Male,no,African_American
yes,0.15885351778289536,yes,no,Female,no,African_American
no,-0.6843577587219685,no,no,Female,yes,Caucasian
no,-0.6843577587219685,yes,no,Male,no,African_American
yes,2.056078889918839,no,no,Male,no,African_American
no,-0.6843577587219685,no,no,Male,yes,African_American
yes,0.15885351778289536,no,no,Male,no,Caucasian
no,-0.4735549395957525,no,no,Male,no,Caucasian
yes,-0.4735549395957525,no,no,Male,no,Caucasian
no,-0.6843577587219685,no,no,Female,yes,Caucasian
yes,1.634473251666407,no,no,Male,yes,African_American
no,-0.6843577587219685,yes,no,Male,no,Caucasian
no,-0.6843577587219685,yes,no,Male,no,African_American
yes,-0.05194930134332059,yes,no,Male,no,African_American
yes,-0.4735549395957525,no,no,Male,no,African_American
no,-0.6843577587219685,yes,no,Female,yes,Caucasian
no,-0.26275212046953655,no,no,Male,no,African_American
no,-0.05194930134332059,yes,no,Female,no,African_American
yes,-0.4735549395957525,no,no,Male,no,African_American
yes,0.5804591560353273,no,no,Male,no,African_American
yes,-0.26275212046953655,no,no,Male,no,African_American
no,-0.6843577587219685,no,yes,Female,yes,African_American
yes,0.5804591560353273,no,no,Male,no,African_American
no,-0.26275212046953655,no,no,Female,yes,African_American
no,-0.4735549395957525,no,yes,Female,yes,Caucasian
yes,0.15885351778289536,no,no,Female,no,Caucasian
no,-0.6843577587219685,no,yes,Female,yes,Caucasian
no,-0.4735549395957525,no,no,Male,no,African_American
yes,1.212867613413975,no,no,Male,no,Caucasian
yes,0.15885351778289536,no,no,Male,yes,Caucasian
no,0.3696563369091113,no,no,Male,no,Caucasian
yes,-0.6843577587219685,no,no,Male,yes,African_American
yes,-0.6843577587219685,no,yes,Male,yes,African_American
no,-0.4735549395957525,no,yes,Male,no,African_American
no,-0.6843577587219685,no,no,Male,no,Caucasian
no,3.1100929855499184,no,no,Male,yes,African_American
no,-0.6843577587219685,no,no,Male,no,Caucasian
yes,0.15885351778289536,no,yes,Male,no,African_American
yes,0.15885351778289536,no,no,Male,no,Caucasian
no,-0.6843577587219685,no,no,Female,yes,African_American
yes,0.15885351778289536,no,no,Female,yes,African_American
no,-0.6843577587219685,no,no,Female,no,African_American
yes,-0.26275212046953655,no,no,Male,no,Caucasian
yes,0.7912619751615432,no,no,Female,no,African_American
no,0.7912619751615432,yes,no,Male,no,Caucasian
no,-0.6843577587219685,no,yes,Female,no,Caucasian
no,-0.6843577587219685,no,no,Male,no,African_American
no,-0.6843577587219685,no,no,Male,no,Caucasian
yes,0.3696563369091113,no,no,Male,yes,African_American
no,-0.26275212046953655,no,no,Male,yes,African_American
no,-0.4735549395957525,no,yes,Male,yes,African_American
yes,2.6884873472974866,no,no,Male,yes,African_American
no,-0.26275212046953655,yes,no,Male,no,Caucasian
no,0.3696563369091113,no,no,Male,no,Caucasian
yes,-0.6843577587219685,no,yes,Male,no,African_American
yes,-0.6843577587219685,no,no,Female,yes,African_American
yes,1.0020647942877592,no,no,Male,yes,African_American
no,-0.4735549395957525,no,no,Male,yes,Caucasian
yes,-0.4735549395957525,no,yes,Male,no,African_American
no,0.3696563369091113,no,no,Female,no,African_American
no,-0.6843577587219685,no,yes,Male,no,African_American
yes,0.5804591560353273,no,no,Male,no,African_American
no,-0.6843577587219685,no,no,Male,no,African_American
yes,0.15885351778289536,yes,no,Male,no,Caucasian
no,-0.6843577587219685,no,yes,Male,no,Caucasian
yes,-0.26275212046953655,no,yes,Male,no,African_American
no,-0.6843577587219685,no,no,Male,yes,Caucasian
yes,3.9533042620547825,no,no,Female,no,African_American
no,-0.4735549395957525,yes,no,Male,no,Caucasian
no,-0.05194930134332059,yes,no,Male,no,African_American
no,-0.6843577587219685,no,no,Female,no,African_American
yes,-0.6843577587219685,no,no,Male,no,Caucasian
yes,0.5804591560353273,no,no,Male,no,Caucasian
yes,0.3696563369091113,no,no,Male,no,Caucasian
yes,-0.26275212046953655,no,yes,Male,no,African_American
yes,-0.26275212046953655,no,no,Male,no,African_American
no,-0.6843577587219685,no,no,Male,yes,Caucasian
no,1.212867613413975,no,no,Male,yes,African_American
yes,2.056078889918839,no,no,Male,no,Caucasian
yes,0.3696563369091113,no,no,Female,no,Caucasian
no,0.7912619751615432,no,no,Male,yes,African_American
yes,-0.05194930134332059,no,no,Male,no,African_American
yes,-0.05194930134332059,no,no,Male,no,African_American
no,-0.4735549395957525,no,no,Male,no,Caucasian
yes,-0.05194930134332059,no,no,Female,no,African_American
yes,-0.4735549395957525,no,no,Female,no,African_American
yes,0.3696563369091113,no,no,Male,no,African_American
no,1.634473251666407,no,no,Male,no,African_American
yes,1.0020647942877592,no,no,Male,no,African_American
no,-0.4735549395957525,no,no,Female,no,African_American
yes,-0.4735549395957525,no,yes,Male,no,African_American
no,-0.6843577587219685,no,yes,Male,no,African_American
no,-0.6843577587219685,no,no,Male,no,Caucasian
yes,-0.26275212046953655,no,yes,Male,yes,African_American
yes,3.9533042620547825,yes,no,Male,no,African_American
yes,-0.4735549395957525,no,no,Female,no,African_American
yes,-0.05194930134332059,no,no,Male,no,African_American
no,-0.6843577587219685,no,no,Male,no,African_American
yes,-0.6843577587219685,yes,no,Male,yes,Caucasian
no,0.15885351778289536,no,no,Male,no,African_American
yes,-0.6843577587219685,no,no,Female,yes,African_American
yes,0.3696563369091113,no,no,Male,no,Caucasian
yes,-0.6843577587219685,no,yes,Male,no,Caucasian
no,-0.6843577587219685,no,no,Male,yes,Caucasian
yes,-0.4735549395957525,no,no,Male,no,Caucasian
no,0.5804591560353273,no,no,Male,no,African_American
no,-0.26275212046953655,no,no,Male,yes,African_American
no,-0.26275212046953655,no,no,Female,no,Caucasian
yes,3.3208958046761348,yes,no,Male,no,Caucasian
yes,2.4776845281712707,no,no,Male,no,African_American
no,-0.6843577587219685,yes,no,Male,yes,Caucasian
no,-0.4735549395957525,no,no,Male,no,African_American
yes,-0.4735549395957525,no,no,Male,no,African_American
yes,-0.6843577587219685,no,no,Male,yes,Caucasian
no,-0.6843577587219685,no,no,Male,no,African_American
no,-0.4735549395957525,no,no,Male,no,Caucasian
no,-0.05194930134332059,no,no,Male,no,African_American
no,-0.6843577587219685,no,yes,Female,no,African_American
yes,-0.6843577587219685,no,yes,Male,no,African_American
no,-0.05194930134332059,yes,no,Male,yes,African_American
no,-0.4735549395957525,no,no,Male,yes,Caucasian
no,-0.4735549395957525,no,yes,Male,yes,African_American
yes,-0.6843577587219685,no,no,Male,yes,African_American
no,0.15885351778289536,yes,no,Female,no,Caucasian
yes,-0.05194930134332059,yes,no,Male,yes,Caucasian
no,-0.6843577587219685,no,no,Male,yes,African_American
no,-0.26275212046953655,no,no,Male,yes,Caucasian
yes,-0.4735549395957525,yes,no,Male,no,African_American
no,-0.6843577587219685,no,no,Male,yes,Caucasian
no,-0.4735549395957525,yes,no,Male,no,African_American
no,1.212867613413975,no,no,Male,no,African_American
no,-0.05194930134332059,no,no,Male,no,African_American
no,-0.05194930134332059,yes,no,Male,yes,African_American
no,0.15885351778289536,no,no,Female,yes,Caucasian
yes,-0.6843577587219685,yes,no,Male,yes,Caucasian
no,-0.6843577587219685,no,yes,Male,no,Caucasian
no,-0.4735549395957525,no,no,Female,no,African_American
yes,0.5804591560353273,no,yes,Male,no,African_American
yes,-0.05194930134332059,no,no,Male,no,African_American
no,-0.4735549395957525,no,yes,Male,yes,African_American
yes,-0.6843577587219685,yes,no,Male,yes,African_American
no,-0.4735549395957525,no,no,Male,yes,Caucasian
no,-0.6843577587219685,no,no,Male,no,African_American
no,-0.26275212046953655,no,no,Male,no,Caucasian
no,-0.6843577587219685,yes,no,Male,no,Caucasian
no,-0.4735549395957525,yes,no,Male,yes,Caucasian
no,-0.4735549395957525,no,yes,Male,no,Caucasian
no,-0.6843577587219685,yes,no,Male,yes,Caucasian
yes,0.15885351778289536,no,no,Male,no,African_American
no,-0.4735549395957525,no,yes,Male,no,African_American
yes,-0.6843577587219685,no,yes,Female,no,African_American
no,-0.6843577587219685,no,no,Male,no,African_American
yes,1.423670432540191,no,no,Female,no,Caucasian
yes,-0.26275212046953655,no,yes,Male,yes,African_American
yes,-0.26275212046953655,no,no,Male,no,African_American
no,-0.6843577587219685,no,yes,Male,yes,Caucasian
no,-0.6843577587219685,no,no,Male,yes,African_American
no,-0.4735549395957525,no,no,Male,no,Caucasian
no,-0.6843577587219685,no,yes,Female,no,Caucasian
no,-0.4735549395957525,no,no,Male,no,African_American
yes,1.423670432540191,no,no,Male,yes,African_American
no,-0.6843577587219685,no,no,Female,yes,African_American
yes,1.0020647942877592,no,no,Male,no,African_American
yes,-0.05194930134332059,no,no,Male,no,African_American
yes,-0.6843577587219685,no,yes,Female,no,Caucasian
yes,-0.05194930134332059,yes,no,Male,no,African_American
yes,1.212867613413975,no,no,Male,yes,African_American
no,-0.6843577587219685,yes,no,Male,no,Caucasian
no,-0.6843577587219685,no,no,Male,yes,Caucasian
no,-0.4735549395957525,no,yes,Female,yes,Caucasian
no,-0.6843577587219685,no,yes,Male,no,African_American
no,-0.6843577587219685,yes,no,Male,no,Caucasian
no,-0.6843577587219685,no,yes,Female,no,African_American
no,-0.4735549395957525,no,no,Male,no,African_American
no,0.3696563369091113,no,no,Male,no,Caucasian
yes,-0.4735549395957525,yes,no,Male,yes,Caucasian
yes,1.0020647942877592,no,no,Male,no,Caucasian
no,-0.6843577587219685,no,yes,Male,yes,African_American
no,1.0020647942877592,no,no,Male,yes,African_American
no,-0.05194930134332059,no,no,Male,no,Caucasian
no,1.8452760707926228,yes,no,Male,yes,African_American
no,-0.6843577587219685,no,no,Male,no,Caucasian
no,1.0020647942877592,yes,no,Female,no,African_American
yes,1.212867613413975,no,no,Male,yes,African_American
yes,2.266881709045055,no,no,Male,no,African_American
no,0.7912619751615432,yes,no,Male,no,African_American
yes,2.4776845281712707,yes,no,Male,no,African_American
yes,-0.05194930134332059,no,no,Female,no,Caucasian
yes,3.1100929855499184,no,no,Male,no,African_American
yes,-0.6843577587219685,no,no,Female,no,African_American
no,-0.6843577587219685,no,no,Male,yes,Caucasian
yes,1.423670432540191,yes,no,Male,no,African_American
no,3.5316986238023507,no,no,Male,no,African_American
no,1.212867613413975,yes,no,Male,no,Caucasian
no,-0.6843577587219685,no,yes,Female,no,African_American
no,-0.6843577587219685,no,yes,Male,yes,Caucasian
no,-0.6843577587219685,no,no,Male,no,Caucasian
yes,2.056078889918839,no,no,Male,no,Caucasian
yes,-0.6843577587219685,no,yes,Male,yes,African_American
yes,-0.05194930134332059,no,no,Male,yes,African_American
no,0.15885351778289536,no,no,Male,yes,African_American
yes,1.212867613413975,no,no,Male,no,African_American
yes,-0.05194930134332059,no,no,Female,yes,African_American
yes,-0.26275212046953655,no,yes,Male,no,African_American
no,1.423670432540191,no,no,Male,no,Caucasian
no,1.423670432540191,no,no,Female,no,African_American
yes,0.15885351778289536,no,no,Male,no,African_American
yes,0.15885351778289536,no,no,Male,no,Caucasian
no,-0.6843577587219685,no,yes,Male,yes,Caucasian
no,-0.6843577587219685,yes,no,Female,yes,African_American
no,1.0020647942877592,yes,no,Male,no,African_American
yes,-0.4735549395957525,no,yes,Male,no,African_American
no,-0.4735549395957525,no,no,Male,yes,Caucasian
yes,2.8992901664237025,yes,no,Male,no,Caucasian
no,-0.6843577587219685,no,yes,Female,yes,African_American
yes,-0.4735549395957525,no,no,Male,no,African_American
no,-0.6843577587219685,yes,no,Female,no,African_American
no,-0.05194930134332059,yes,no,Male,no,African_American
no,-0.6843577587219685,no,yes,Male,no,African_American
no,-0.4735549395957525,no,no,Male,no,Caucasian
yes,1.212867613413975,no,no,Male,no,African_American
no,1.0020647942877592,yes,no,Male,no,African_American
no,-0.6843577587219685,no,no,Female,no,Caucasian
yes,-0.4735549395957525,no,no,Male,no,African_American
yes,-0.6843577587219685,no,no,Male,no,African_American
no,-0.4735549395957525,yes,no,Male,no,African_American
no,3.3208958046761348,yes,no,Male,no,African_American
yes,-0.26275212046953655,no,no,Female,yes,African_American
no,-0.6843577587219685,yes,no,Male,yes,Caucasian
no,-0.6843577587219685,no,yes,Female,yes,Caucasian
no,-0.4735549395957525,yes,no,Female,no,African_American
yes,1.212867613413975,no,no,Male,no,African_American
no,0.3696563369091113,no,no,Female,yes,African_American
yes,-0.6843577587219685,no,no,Female,yes,Caucasian
yes,-0.05194930134332059,no,no,Male,no,African_American
no,-0.4735549395957525,yes,no,Female,no,African_American
yes,2.6884873472974866,no,no,Male,no,African_American
yes,1.634473251666407,no,no,Male,yes,African_American
no,0.15885351778289536,no,no,Male,yes,African_American
yes,1.423670432540191,yes,no,Male,no,Caucasian
no,-0.4735549395957525,no,yes,Male,yes,Caucasian
no,-0.6843577587219685,no,yes,Male,no,African_American
no,-0.6843577587219685,yes,no,Female,no,Caucasian
no,0.15885351778289536,no,no,Male,no,African_American
yes,-0.4735549395957525,no,yes,Male,yes,African_American
no,0.3696563369091113,no,no,Male,no,African_American
no,0.7912619751615432,no,no,Male,no,African_American
yes,0.3696563369091113,no,yes,Male,yes,Caucasian
yes,-0.6843577587219685,no,yes,Female,no,African_American
no,-0.4735549395957525,no,no,Female,no,African_American
no,-0.4735549395957525,no,no,Male,no,African_American
yes,1.212867613413975,no,no,Male,yes,African_American
yes,-0.26275212046953655,no,no,Male,no,African_American
no,0.7912619751615432,no,no,Male,yes,African_American
no,0.15885351778289536,yes,no,Male,yes,African_American
yes,0.3696563369091113,no,yes,Male,no,African_American
no,-0.6843577587219685,no,no,Male,no,African_American
yes,-0.26275212046953655,no,no,Female,no,Caucasian
yes,-0.26275212046953655,no,no,Female,no,Caucasian
yes,-0.6843577587219685,yes,no,Male,yes,Caucasian
yes,1.423670432540191,no,no,Male,no,African_American
yes,1.212867613413975,no,no,Male,yes,African_American
no,-0.6843577587219685,no,yes,Male,no,African_American
no,0.15885351778289536,yes,no,Male,no,Caucasian
yes,-0.4735549395957525,yes,no,Male,yes,African_American
yes,0.3696563369091113,no,no,Female,no,African_American
no,1.423670432540191,no,no,Male,yes,African_American
no,-0.6843577587219685,no,no,Male,no,African_American
yes,0.5804591560353273,no,no,Male,yes,African_American
no,-0.6843577587219685,no,no,Female,no,Caucasian
no,-0.6843577587219685,no,no,Male,yes,Caucasian
yes,-0.6843577587219685,no,no,Male,no,Caucasian
no,-0.26275212046953655,no,no,Male,yes,African_American
yes,-0.26275212046953655,yes,no,Male,yes,Caucasian
no,-0.4735549395957525,no,no,Male,no,African_American
yes,-0.26275212046953655,no,yes,Male,no,African_American
no,0.3696563369091113,yes,no,Male,no,African_American
yes,1.0020647942877592,no,no,Male,no,African_American
yes,-0.26275212046953655,no,yes,Male,no,African_American
no,-0.6843577587219685,no,no,Male,no,African_American
no,-0.6843577587219685,no,no,Male,yes,Caucasian
no,-0.4735549395957525,no,yes,Male,no,African_American
yes,-0.6843577587219685,yes,no,Male,no,African_American
no,-0.05194930134332059,no,no,Male,yes,African_American
no,-0.6843577587219685,no,no,Female,yes,African_American
no,3.3208958046761348,yes,no,Male,no,African_American
no,-0.6843577587219685,no,yes,Male,yes,Caucasian
yes,-0.05194930134332059,no,no,Male,no,African_American
yes,-0.26275212046953655,no,no,Male,yes,Caucasian
yes,-0.6843577587219685,no,no,Male,no,African_American
no,-0.05194930134332059,no,no,Male,yes,Caucasian
no,-0.6843577587219685,no,yes,Female,yes,Caucasian
no,-0.26275212046953655,no,yes,Female,no,African_American
no,-0.4735549395957525,no,no,Male,no,African_American
yes,-0.26275212046953655,no,no,Male,no,African_American
no,-0.26275212046953655,yes,no,Female,no,Caucasian
yes,0.15885351778289536,no,yes,Female,no,Caucasian
yes,-0.6843577587219685,no,yes,Male,yes,Caucasian
no,-0.4735549395957525,no,no,Male,no,African_American
yes,1.0020647942877592,no,no,Male,no,African_American
yes,-0.6843577587219685,yes,no,Male,no,African_American
yes,0.7912619751615432,no,no,Male,no,Caucasian
no,-0.4735549395957525,no,yes,Male,no,African_American
no,-0.4735549395957525,no,no,Male,yes,Caucasian
yes,-0.26275212046953655,yes,no,Female,no,Caucasian
yes,0.5804591560353273,no,no,Male,yes,Caucasian
yes,-0.6843577587219685,no,yes,Female,no,African_American
no,-0.6843577587219685,no,yes,Female,yes,African_American
yes,-0.05194930134332059,no,yes,Male,no,Caucasian
no,0.15885351778289536,no,no,Male,yes,African_American
yes,-0.05194930134332059,no,yes,Male,yes,Caucasian
no,-0.4735549395957525,no,yes,Male,no,Caucasian
yes,0.3696563369091113,no,yes,Male,no,African_American
no,1.423670432540191,yes,no,Male,no,African_American
no,-0.4735549395957525,yes,no,Male,no,Caucasian
yes,-0.6843577587219685,no,no,Male,no,Caucasian
no,-0.6843577587219685,no,no,Female,yes,African_American
no,-0.4735549395957525,no,no,Female,no,African_American
yes,1.423670432540191,no,yes,Male,no,African_American
no,0.15885351778289536,no,no,Female,no,African_American
no,0.15885351778289536,yes,no,Male,no,African_American
yes,-0.26275212046953655,no,yes,Male,no,African_American
no,-0.26275212046953655,no,no,Male,no,African_American
yes,1.0020647942877592,no,no,Male,no,African_American
yes,1.0020647942877592,no,no,Male,yes,African_American
no,-0.4735549395957525,no,yes,Male,no,African_American
yes,0.7912619751615432,no,no,Male,no,African_American
no,-0.6843577587219685,yes,no,Female,yes,Caucasian
yes,2.8992901664237025,yes,no,Male,no,African_American
yes,-0.6843577587219685,yes,no,Female,no,African_American
no,1.0020647942877592,no,no,Female,no,African_American
yes,1.0020647942877592,no,no,Male,yes,African_American
yes,-0.4735549395957525,no,no,Male,yes,Caucasian
no,-0.6843577587219685,yes,no,Female,no,African_American
