"Two_yr_Recidivismyes","Number_of_Priors","Age_Above_FourtyFiveyes","Age_Below_TwentyFiveyes","FemaleMale","Misdemeanoryes","ethnicityCaucasian"
1,-0.0125304970988913,0,1,0,1,1
1,-0.400115101329312,0,1,1,1,0
1,0.701856733526477,1,0,1,1,0
0,-0.930922321961949,0,0,1,0,1
1,-0.545323868452363,0,1,1,1,0
1,-0.5937683731941,0,0,1,1,1
1,0.196977291542451,0,0,1,1,1
1,-0.362762246488082,0,1,1,0,0
0,-0.168091069786416,0,0,1,0,1
1,-0.434163240580175,0,0,1,0,0
1,-0.121048762919098,0,0,1,1,1
1,1.79018301125218,0,0,1,1,0
0,-0.468224829303143,1,0,1,0,0
0,-0.627172384203335,1,0,1,1,1
0,0.164697036614054,0,0,1,0,0
1,0.207163381236592,1,0,1,1,0
0,-0.683326710700533,0,0,1,0,1
0,-0.274335915335546,1,0,1,1,0
1,-0.275442214643316,1,0,1,0,1
1,0.0505249545830046,0,0,1,1,0
0,-0.503621463751246,1,0,1,0,1
0,0.44101297011936,0,0,1,1,0
0,-0.228721327096901,0,0,1,1,0
0,-0.589895078559158,0,1,0,0,1
1,1.15971845273277,0,0,1,1,0
0,-0.453807805802598,0,1,1,0,1
0,-0.258215356416182,0,0,1,1,1
0,-0.425620466854031,1,0,1,1,1
1,4.223972382609,0,0,0,0,0
0,0.401274077849923,0,0,1,0,0
0,0.632369487603292,0,0,1,1,1
0,-0.819605233423566,1,0,1,1,1
0,-0.623514569676976,0,0,1,1,1
0,0.283222050832034,0,0,1,0,0
1,2.12572741863437,1,0,1,0,1
0,-0.648051371495564,0,0,0,1,0
0,0.234184646061308,0,0,1,0,1
0,-0.304850501999744,0,0,1,0,1
1,1.22975492467194,1,0,1,0,1
1,1.03364387537184,0,0,1,0,0
1,-0.406674881841823,0,0,0,0,0
0,-0.627021227333128,0,0,1,0,1
1,1.12679500599818,1,0,1,0,1
1,-0.164139850239593,0,1,0,0,1
1,-0.164380410676333,0,0,1,0,0
1,0.637808556806926,0,0,1,0,1
1,-0.263060788396462,0,0,1,0,0
0,-0.732563658471444,0,0,0,1,1
0,-0.214672920030181,0,0,0,0,1
0,-0.637627103207962,0,0,0,1,1
1,-0.724409454957334,0,1,1,0,1
1,0.620154727561731,0,0,0,0,1
1,-0.459926620313113,0,1,1,0,0
0,2.63562275601587,0,0,1,0,1
0,-0.274419587143862,0,0,1,0,1
1,-0.234535853356729,0,0,1,0,0
0,-0.558118764211974,0,0,1,0,0
0,-0.801022175710263,0,1,1,0,0
1,0.674410476745968,0,0,1,0,0
0,0.253207495948173,1,0,1,0,0
1,0.843179815928785,0,0,1,0,0
1,-0.562827242004101,0,0,0,0,1
1,1.43461212652419,0,0,1,0,0
0,0.400577437611105,0,0,1,1,0
0,-0.292156733691236,0,0,1,1,0
1,-0.755258956287726,0,1,1,1,0
1,-0.588972375739043,0,1,1,0,1
0,0.211152450151397,0,0,1,0,1
1,2.8175760852756,0,0,0,0,0
0,-0.721867099311168,0,0,0,0,0
1,0.0473422434082828,0,0,0,1,0
1,-0.540357903808959,0,0,1,1,0
1,-0.0538285464506228,0,0,1,0,0
0,-0.52917225247152,1,0,1,1,1
1,-0.0466341953502635,0,1,1,0,1
0,-0.767695660753897,0,1,0,1,0
1,-0.0938151558985655,0,1,1,0,0
0,0.173353363947728,0,0,1,0,0
1,-0.320562895073514,0,1,1,0,0
1,-0.467948759252739,0,1,1,0,1
1,-0.728162997896432,0,1,0,0,1
0,0.186421363443249,0,0,0,0,1
0,1.24264725925489,1,0,1,1,0
1,0.475246901387561,0,0,1,1,0
0,-0.634526629224243,1,0,1,1,1
1,0.770007993750526,0,0,1,0,0
1,0.352237314712204,0,1,1,0,1
0,-0.874642522864161,1,0,1,1,1
1,-0.517549163893957,0,1,0,1,0
0,-0.733392456894965,0,0,0,0,0
0,-0.445793711232344,0,1,1,0,1
0,-0.094076321535956,0,1,0,0,0
0,-0.568942825333851,0,0,1,0,0
0,-0.72420899258796,0,0,1,0,0
1,1.97486388067341,0,0,1,0,0
0,-0.157602302793759,0,0,1,1,1
0,-0.391810271681587,0,0,1,0,0
0,-0.822304293386158,1,0,1,1,1
1,-0.166636736387366,0,1,1,0,0
0,-0.531741161134444,0,0,0,1,0
1,-0.587173312836452,0,1,1,0,0
1,1.22294864522922,0,0,1,0,1
1,1.18221240988361,1,0,1,0,0
0,-0.275300863858784,1,0,1,0,1
1,-0.554418609476568,0,0,1,1,0
0,-0.693563879761506,0,1,1,0,0
1,1.23963214327143,1,0,1,0,0
1,0.164011606022605,0,0,1,1,1
0,-0.0762705706740238,0,1,1,0,1
1,-0.733496121897146,0,0,1,1,1
0,-0.40669983544795,0,0,1,0,0
1,-0.554137601335073,0,1,0,0,0
1,0.656637785544966,0,0,1,1,0
0,-0.744473437988551,0,0,1,0,0
1,0.0952231403829762,0,0,1,0,1
1,0.365637010623608,0,0,1,0,1
0,0.444790201534943,0,0,1,0,0
1,-0.609393694321797,0,1,0,0,0
1,-0.49830206750324,0,0,0,1,0
1,-0.685621319558878,1,0,1,0,0
0,-0.648099474133948,0,1,1,1,0
1,-0.670125322541387,0,0,1,0,1
1,2.64811035919969,1,0,1,1,0
0,2.30042729276627,1,0,1,1,0
1,0.310735364420712,0,0,1,0,0
1,-0.57848296240141,0,1,1,0,1
0,-0.686828244501146,0,0,1,0,0
1,-0.255375544743065,1,0,1,1,1
0,-0.294520498175105,1,0,1,0,1
1,0.578803114399533,0,0,1,0,0
1,-0.107639617155952,0,0,0,0,1
0,0.792938113105831,0,0,1,0,0
1,0.114204031077627,0,0,1,0,0
0,-0.437808702361782,0,0,0,0,1
1,0.301645031894976,0,0,0,0,1
0,-0.689040689508481,0,0,1,1,1
0,-0.0511834714341984,0,0,1,1,1
0,-0.641202369865085,0,1,1,0,1
0,-0.232504643031377,1,0,1,1,1
0,0.0903109290372081,0,0,1,1,0
1,-0.469489900434717,1,0,1,0,0
1,0.941952831955235,0,0,1,0,0
1,-0.385608525109038,0,1,1,1,0
0,-0.46955865037256,0,0,1,1,1
0,-0.683942711702709,1,0,1,1,0
0,-0.280094936694934,1,0,1,0,1
1,0.54972043858391,0,1,1,0,1
0,-0.85692272416992,0,0,1,0,1
0,-0.487811646516854,0,0,1,1,1
1,1.17545855799435,0,0,1,0,0
1,0.227874306387415,0,0,1,1,0
0,-0.808028530823127,0,0,1,0,0
1,1.04844784391651,1,0,1,1,0
0,-0.718150575611767,0,0,1,0,0
0,-0.397921734013073,0,0,0,1,0
1,2.51143260657471,0,0,1,0,0
1,-0.695671490000807,0,1,1,0,1
1,-0.427565937047155,0,0,1,0,0
0,-0.364889492568955,0,0,1,0,0
1,1.75386771220637,0,0,1,0,0
0,-0.462771805081874,1,0,1,1,1
1,2.84307568288561,0,0,1,0,0
1,-0.133504164492149,0,0,1,1,1
0,-0.140815427187801,1,0,0,0,1
0,-0.658566492537871,0,0,1,0,0
1,0.814875249057547,0,0,1,0,0
0,-0.00115558906512253,0,0,1,0,0
1,0.310077569088514,1,0,0,0,0
0,-0.867554981595563,0,0,0,1,1
0,-0.545914769663583,1,0,1,0,0
1,2.10940348221486,0,0,1,0,0
0,-0.688540160196304,0,0,1,1,0
1,0.281741301817813,0,0,1,0,1
0,-0.406146039804693,0,0,1,0,1
1,-0.320321941704581,0,0,1,0,1
0,-0.575527999242986,0,0,0,1,1
1,1.88952296547547,0,0,1,1,0
0,-0.644217072870654,1,0,1,0,1
0,-0.702033479454767,1,0,1,0,0
1,0.142280707328837,1,0,1,0,0
1,-0.282427634279007,0,0,1,0,0
0,-0.637724529815515,1,0,0,1,1
0,-0.205303829597108,0,0,1,0,0
0,-0.14859217674482,1,0,0,0,0
1,-0.252122808301148,0,0,1,0,0
1,0.699242573591802,0,0,1,0,0
1,-0.135318192225206,0,0,1,0,0
0,-0.642262926952659,0,1,0,1,0
1,0.562772662703319,0,0,1,0,0
0,-0.296915066723287,0,0,0,1,0
0,-0.436536819942293,0,1,0,1,1
1,0.155089145428929,0,0,0,0,1
0,-0.803757666525002,0,1,0,1,1
0,-0.436543490900547,0,0,1,0,0
1,1.13614738942762,0,0,1,0,1
1,0.174150993312558,0,0,1,1,1
0,0.260022350460666,0,0,1,0,1
1,-0.556694670282553,0,0,1,1,0
1,-0.657992148498303,0,1,1,1,0
0,-0.445400583114489,0,1,1,0,0
0,-0.660592423475922,0,0,1,0,1
0,3.1239067653511,0,0,1,1,0
0,-0.632521206128466,0,0,1,0,1
1,0.382330843322111,0,1,1,0,0
1,0.196351983383242,0,0,1,0,1
0,-0.611220601692918,0,0,0,1,0
1,0.269470545225006,0,0,0,1,0
0,-0.492896317638303,0,0,0,0,0
1,0.0229776160817693,0,0,1,0,1
1,1.06950023300769,0,0,0,0,0
0,0.795617463917908,1,0,1,0,1
0,-0.641307859007707,0,1,0,0,1
0,-0.637608042323544,0,0,1,0,0
0,-0.685268867473146,0,0,1,0,1
1,0.540690294508647,0,0,1,1,0
0,-0.309127509816717,0,0,1,1,0
0,-0.593571983088807,0,1,1,1,0
1,2.85828516458294,0,0,1,1,0
0,-0.172058678795882,1,0,1,0,1
0,0.485044423717147,0,0,1,0,1
1,-0.562265790396504,0,1,1,0,0
1,-0.750470250904787,0,0,0,1,0
1,1.11116521753984,0,0,1,1,0
0,-0.516989830823585,0,0,1,1,1
1,-0.567226831697606,0,1,1,0,0
0,0.382559326544582,0,0,0,0,0
0,-0.589640742250795,0,1,1,0,0
1,0.670006161185832,0,0,1,0,0
0,-0.710601501117358,0,0,1,0,0
1,0.318592267106357,1,0,1,0,1
0,-0.682810376303704,0,1,1,0,1
1,-0.11899818022235,0,1,1,0,0
0,-0.722544555816177,0,0,1,1,1
1,3.93255135121501,0,0,0,0,0
0,-0.269916809072958,1,0,1,0,1
0,-0.103497002199203,1,0,1,0,0
0,-0.629789544287312,0,0,0,0,0
1,-0.557805894548719,0,0,1,0,1
1,0.665593017289273,0,0,1,0,1
1,0.577316756883657,0,0,1,0,1
1,-0.209347494325216,0,1,1,0,0
1,-0.038696918198962,0,0,1,0,0
0,-0.726973845488834,0,0,1,1,1
0,1.05410935336728,0,0,1,1,0
1,2.25473142415405,0,0,1,0,1
1,0.350785238168643,0,0,0,0,1
0,0.956634114721775,0,0,1,1,0
1,-0.183656049464014,0,0,1,0,0
1,0.096052504953947,0,0,1,0,0
0,-0.458668347139538,0,0,1,0,1
1,0.121041607668574,0,0,0,0,0
1,-0.267316986734135,0,0,0,0,0
1,0.472961204230611,0,0,1,0,0
0,1.36041630710501,0,0,1,0,0
1,1.13358324965644,0,0,1,0,0
0,-0.541781153061968,0,0,0,0,0
1,-0.19897026476856,0,1,1,0,0
0,-0.589584810131067,0,1,1,0,0
0,-0.859403026112648,0,0,1,0,1
1,-0.0840293455532776,0,1,1,1,0
1,4.1711349273951,1,0,1,0,0
1,-0.388105724522998,0,0,0,0,0
1,0.14640063123836,0,0,1,0,0
0,-0.672683687514666,0,0,1,0,0
1,-0.499565807795679,1,0,1,1,1
0,-0.0533480556375686,0,0,1,0,0
1,-0.510735931462389,0,0,0,1,0
1,0.473400837572863,0,0,1,0,1
1,-0.413615592694755,0,1,1,0,1
0,-0.619545793249888,0,0,1,1,1
1,-0.359190933368774,0,0,1,0,1
0,0.715812196611078,0,0,1,0,0
0,-0.226660848190996,0,0,1,1,0
0,-0.168283498646495,0,0,0,0,1
1,3.52830568882667,1,0,1,0,1
1,2.54178110507856,0,0,1,0,0
0,-0.622203421172055,1,0,1,1,1
0,-0.446346404042713,0,0,1,0,0
1,-0.311681530496107,0,0,1,0,0
1,-0.491493146307149,0,0,1,1,1
0,-0.857707235666949,0,0,1,0,0
0,-0.648168931389396,0,0,1,0,1
0,-0.0981431479837063,0,0,1,0,0
0,-0.649829997199645,0,1,0,0,0
1,-0.437592125049381,0,1,1,0,0
0,0.060034105589164,1,0,1,1,0
0,-0.43895351542204,0,0,1,1,1
0,-0.382627154989938,0,1,1,1,0
1,-0.482983553379022,0,0,1,1,0
0,0.185971024942116,1,0,0,0,1
1,0.14271856908336,1,0,1,1,1
0,-0.735459830330662,0,0,1,1,0
0,-0.326722239546715,0,0,1,1,1
1,-0.295328411615626,1,0,1,0,0
0,-0.673440807217761,0,0,1,1,1
0,-0.572026270684886,1,0,1,0,0
0,1.26839706054737,0,0,1,0,0
0,-0.10347962978996,0,0,1,0,0
0,0.0110790601971778,1,0,1,1,0
0,0.236166784122992,0,0,0,1,1
1,-0.556145197861445,1,0,1,1,1
0,-0.735070516071885,0,1,1,0,1
0,-0.447834198032105,0,0,0,0,0
1,0.760482217651395,0,1,1,0,0
1,-0.11799988973535,0,0,1,0,0
0,-0.45265063892011,0,1,1,1,0
1,-0.671907771039502,1,0,1,1,0
0,-0.330579371433239,0,0,1,1,1
0,-0.680859096684705,0,0,1,0,0
0,-0.167106382873374,0,0,1,0,1
0,-0.530158841490354,1,0,1,0,1
0,-0.515475959207595,1,0,1,1,1
0,-0.445837135475977,0,1,1,0,1
0,-0.809507400617235,1,0,1,1,1
1,0.0116617816357989,0,0,1,0,0
0,-0.512140149347699,0,1,1,0,0
1,-0.63789279488299,0,1,0,0,0
0,-0.679535377811382,0,0,1,0,0
1,1.46705345064149,0,0,0,0,1
1,-0.167414382521328,0,1,1,1,0
1,-0.141768374687794,0,0,1,0,0
0,-0.583512306572333,0,1,1,1,1
0,-0.708656206583502,0,0,1,1,0
0,-0.344919209058642,0,0,1,0,1
0,-0.641341609373151,0,1,0,0,1
0,-0.618417004734678,0,0,1,0,0
1,1.5658909859614,0,0,1,1,0
0,-0.810831370136346,0,0,0,1,0
1,1.13212366804365,0,0,1,0,0
1,-0.154982206827925,0,0,1,0,0
1,-0.711147701814024,0,1,0,0,1
1,-0.121597168668463,1,0,1,0,0
1,1.32810113225368,0,0,1,1,0
0,-0.651034793152653,1,0,1,0,1
0,-0.732908413499569,0,0,1,1,1
0,-0.501751685260546,0,1,0,1,1
0,-0.54200440885712,0,1,1,0,0
0,-0.807125065047065,1,0,1,0,1
0,-0.706548503040515,0,1,0,0,0
0,-0.302495729804569,0,0,1,0,0
0,0.496144957473276,0,0,1,0,1
1,-0.412431541314275,1,0,1,1,1
1,1.15611494859491,0,0,1,0,1
0,-0.601913652455821,0,1,1,1,0
0,1.03613402211757,0,0,1,1,0
0,0.108483503181238,0,0,1,0,1
0,1.80647815874428,1,0,1,1,0
0,-0.775090421580355,0,0,1,0,1
0,0.989136093631475,1,0,0,0,0
1,1.15654910050668,0,0,1,1,0
1,2.29265050694437,0,0,1,0,0
0,0.866823143661047,1,0,1,0,0
1,2.60511483084726,1,0,1,0,0
1,0.130610004632741,0,0,0,0,1
1,3.30199900432507,0,0,1,0,0
1,-0.70477650993667,0,0,0,0,0
0,-0.703605412721803,0,0,1,1,1
1,1.54822051212419,1,0,1,0,0
0,3.49183555878021,0,0,1,0,0
0,1.25844867799732,1,0,1,0,1
0,-0.834603325632547,0,1,0,0,0
0,-0.728790427229272,0,1,1,1,1
0,-0.535934556889637,0,0,1,0,1
1,2.10708850246532,0,0,1,0,1
1,-0.662148006961227,0,1,1,1,0
1,0.141898662008352,0,0,1,1,0
0,0.089984409660123,0,0,1,1,0
1,1.29981027925572,0,0,1,0,0
1,-0.105177015045905,0,0,0,1,0
1,-0.228703262534465,0,1,1,0,0
0,1.40030655636185,0,0,1,0,1
0,1.38522335468124,0,0,0,0,0
1,0.307716833386058,0,0,1,0,0
1,0.328947784603913,0,0,1,0,1
0,-0.613224724290582,0,1,1,1,1
0,-0.634784960565127,1,0,0,1,0
0,0.971819848055795,1,0,1,0,0
1,-0.309691275341044,0,1,1,0,0
0,-0.336613661604643,0,0,1,1,1
1,3.2424932608881,1,0,1,0,1
0,-0.67409341481836,0,1,0,1,0
1,-0.452617764600091,0,0,1,0,0
0,-0.739294680015434,1,0,0,0,0
0,0.105359705420119,1,0,1,0,0
0,-0.590361358932198,0,1,1,0,0
0,-0.725962209609155,0,0,1,0,1
1,1.32792180618739,0,0,1,0,0
0,1.17866399104368,1,0,1,0,0
0,-0.838823866206121,0,0,0,0,1
1,-0.234636719232038,0,0,1,0,0
1,-0.615817098298325,0,0,1,0,0
0,-0.500775245486865,1,0,1,0,0
0,3.36882967546641,1,0,1,0,0
1,-0.112927433278742,0,0,0,1,0
0,-0.762439848619129,1,0,1,1,1
0,-0.762655642532496,0,1,0,1,1
0,-0.348345119111448,1,0,0,0,0
1,1.41959746990711,0,0,1,0,0
0,0.211315963024433,0,0,0,1,0
1,-0.657478773395925,0,0,0,1,1
1,-0.0462845749095629,0,0,1,0,0
0,-0.47522713563705,1,0,0,0,0
1,2.65066613585378,0,0,1,0,0
1,1.58255494271412,0,0,1,1,0
0,0.149709733751923,0,0,1,1,0
1,1.46703037816139,1,0,1,0,1
0,-0.611223362514259,0,1,1,1,1
0,-0.506786926460139,0,1,1,0,0
0,-0.831093965621875,1,0,0,0,1
0,0.126406627391144,0,0,1,0,0
1,-0.504934575784512,0,1,1,1,0
0,0.40985509289705,0,0,1,0,0
0,0.841527750766019,0,0,1,0,0
1,0.472402292125397,0,1,1,1,1
1,-0.530274494860253,0,1,0,0,0
0,-0.42840242546033,0,0,0,0,0
0,-0.532459316925444,0,0,1,0,0
1,1.37247245783979,0,0,1,1,0
1,-0.118397629393377,0,0,1,0,0
0,0.671550245847507,0,0,1,1,0
0,0.122604613124391,1,0,1,1,0
1,0.509237478894266,0,1,1,0,0
0,-0.678801009014605,0,0,1,0,0
1,-0.21969465410726,0,0,0,0,1
1,-0.228304386397826,0,0,0,0,1
1,-0.502904859896565,1,0,1,1,1
1,1.56159329312605,0,0,1,0,0
1,1.39295772132606,0,0,1,1,0
0,-0.757653296212388,0,1,1,0,0
0,0.18960982067272,1,0,1,0,1
1,-0.399938405102316,1,0,1,1,0
1,0.719872678535141,0,0,0,0,0
0,1.32680406834629,0,0,1,1,0
0,-0.766181312004233,0,0,1,0,0
1,0.521115068962763,0,0,1,1,0
0,-0.652646024068852,0,0,0,0,1
0,-0.665716593434254,0,0,1,1,1
1,-0.539107640333898,0,0,1,0,1
0,-0.380963199100367,0,0,1,1,0
1,-0.123659772095348,1,0,1,1,1
0,-0.602132807476066,0,0,1,0,0
1,-0.0559207595137434,0,1,1,0,0
0,0.31593090511694,1,0,1,0,0
1,1.30205794172128,0,0,1,0,0
1,-0.199048052758144,0,1,1,0,0
0,-0.623872189954159,0,0,1,0,0
0,-0.653352521585913,0,0,1,1,1
0,-0.317478857783795,0,1,1,0,0
1,-0.617407627099866,1,0,1,0,0
0,0.0305654091586653,0,0,1,1,0
0,-0.546910066743326,0,0,0,1,0
0,3.32571451340742,1,0,1,0,0
0,-0.586973657765248,0,1,1,1,1
1,-0.143582367621077,0,0,1,0,0
1,-0.163760231983582,0,0,1,1,1
1,-0.684906348870474,0,0,1,0,0
0,0.119323178352718,0,0,1,1,1
0,-0.846479004916663,0,1,0,1,1
0,-0.257485283210937,0,1,0,0,0
0,-0.452036371970319,0,0,1,0,0
1,-0.26909958670204,0,0,1,0,0
0,-0.346889655808486,1,0,0,0,1
1,0.0439912166760905,0,1,0,0,1
1,-0.600558637700945,0,1,1,1,1
0,-0.496387769174308,0,0,1,0,0
1,1.12866376436952,0,0,1,0,0
1,-0.566656585588407,1,0,1,0,0
1,0.85406033338469,0,0,1,0,1
0,-0.486993283308095,0,1,1,0,0
0,-0.607784796432022,0,0,1,1,1
1,-0.146170127809216,1,0,0,0,1
1,0.635189977343595,0,0,1,1,1
1,-0.587555630431815,0,1,0,0,0
0,-0.900550019837291,0,1,0,1,0
1,-0.0493543871268092,0,1,1,0,1
0,0.150604892418986,0,0,1,1,0
1,0.0263444059493504,0,1,1,1,1
0,-0.621908282962254,0,1,1,0,1
1,0.449143153740626,0,1,1,0,0
0,1.58090942125724,1,0,1,0,0
0,-0.482093090117157,1,0,1,0,1
1,-0.629947472091612,0,0,1,0,1
0,-0.787735006459128,0,0,0,1,0
0,-0.297530749729096,0,0,0,0,0
1,1.55927706872325,0,1,1,0,0
0,0.152117136476916,0,0,0,0,0
0,0.203591415002272,1,0,1,0,0
1,-0.218487341344475,0,1,1,0,0
0,-0.334299040393313,0,0,1,0,0
1,1.30127204391376,0,0,1,0,0
1,1.15248661625631,0,0,1,1,0
0,-0.53078295454673,0,1,1,0,0
1,0.940124017611736,0,0,1,0,0
0,-0.561336384176475,1,0,0,1,1
1,3.00452926255072,1,0,1,0,0
1,-0.575973067336478,1,0,0,0,0
0,0.964524683128555,0,0,0,0,0
1,1.00650776818894,0,0,1,1,0
1,-0.631887819027317,0,0,1,1,1
0,-0.741836679308848,1,0,0,0,0
